node,node2,regime
c5473,c5533,0
c5473,c5474,0
c5473,,0
c5474,,0
c5533,c5534,0
c5533,,0
c5534,,0
c5485,c5427,0
c5485,c5486,0
c5485,,0
c5486,,0
c5427,c5428,0
c5427,,0
c5428,,0
c5513,c5481,0
c5513,c5461,0
c5513,c5514,0
c5513,,0
c5514,,0
c5461,c5509,0
c5461,c5541,0
c5461,c5462,0
c5461,,0
c5462,,0
c5541,c5542,0
c5541,,0
c5542,,0
c5509,c5510,0
c5509,,0
c5510,,0
c5481,c5482,0
c5481,,0
c5482,,0
c4933,c4961,0
c4933,c5399,0
c4933,c4934,0
c4933,,0
c4934,,0
c5399,c5400,0
c5399,,0
c5400,,0
c4961,c5301,0
c4961,c4962,0
c4961,,0
c4962,,0
c5301,c5302,0
c5301,,0
c5302,,0
c5035,c4991,0
c5035,c5187,0
c5035,c5331,0
c5035,c5036,0
c5035,,0
c5036,,0
c5331,c5332,0
c5331,,0
c5332,,0
c5187,c5353,0
c5187,c5067,0
c5187,c5188,0
c5187,,0
c5188,,0
c5067,c5219,0
c5067,c4973,0
c5067,c5068,0
c5067,,0
c5068,,0
c4973,c5261,0
c4973,c4974,0
c4973,,0
c4974,,0
c5261,c5262,0
c5261,,0
c5262,,0
c5219,c5220,0
c5219,,0
c5220,,0
c5353,c5119,0
c5353,c5354,0
c5353,,0
c5354,,0
c5119,c5120,0
c5119,,0
c5120,,0
c4991,c5107,0
c4991,c5267,0
c4991,c4975,0
c4991,c4992,0
c4991,,0
c4992,,0
c4975,c4976,0
c4975,,0
c4976,,0
c5267,c4947,0
c5267,c5268,0
c5267,,0
c5268,,0
c4947,c4948,0
c4947,,0
c4948,,0
c5107,c5221,0
c5107,c5405,0
c5107,c5108,0
c5107,,0
c5108,,0
c5405,c5406,0
c5405,,0
c5406,,0
c5221,c5247,0
c5221,c5222,0
c5221,,0
c5222,,0
c5247,c5248,0
c5247,,0
c5248,,0
c5201,c4911,0
c5201,c5145,0
c5201,c5017,0
c5201,c5409,0
c5201,c5377,0
c5201,c5202,0
c5201,,0
c5202,,0
c5377,c5378,0
c5377,,0
c5378,,0
c5409,c5501,0
c5409,c5283,0
c5409,c5410,0
c5409,,0
c5410,,0
c5283,c5033,0
c5283,c5284,0
c5283,,0
c5284,,0
c5033,c5034,0
c5033,,0
c5034,,0
c5501,c5439,0
c5501,c5443,0
c5501,c5537,0
c5501,c5441,0
c5501,c5502,0
c5501,,0
c5502,,0
c5441,c5475,0
c5441,c5442,0
c5441,,0
c5442,,0
c5475,c5476,0
c5475,,0
c5476,,0
c5537,c5493,0
c5537,c5538,0
c5537,,0
c5538,,0
c5493,c5494,0
c5493,,0
c5494,,0
c5443,c5491,0
c5443,c5444,0
c5443,,0
c5444,,0
c5491,c5492,0
c5491,,0
c5492,,0
c5439,c5525,0
c5439,c5440,0
c5439,,0
c5440,,0
c5525,c5423,0
c5525,c5526,0
c5525,,0
c5526,,0
c5423,c5424,0
c5423,,0
c5424,,0
c5017,c5211,0
c5017,c5295,0
c5017,c5379,0
c5017,c5018,0
c5017,,0
c5018,,0
c5379,c5380,0
c5379,,0
c5380,,0
c5295,c5079,0
c5295,c5235,0
c5295,c5296,0
c5295,,0
c5296,,0
c5235,c5236,0
c5235,,0
c5236,,0
c5079,c5080,0
c5079,,0
c5080,,0
c5211,c5099,0
c5211,c4937,0
c5211,c5415,0
c5211,c5212,0
c5211,,0
c5212,,0
c5415,c5416,0
c5415,,0
c5416,,0
c4937,c5363,0
c4937,c4927,0
c4937,c4938,0
c4937,,0
c4938,,0
c4927,c4928,0
c4927,,0
c4928,,0
c5363,c5364,0
c5363,,0
c5364,,0
c5099,c5343,0
c5099,c5299,0
c5099,c5103,0
c5099,c5207,0
c5099,c5321,0
c5099,c5009,0
c5099,c5100,0
c5099,,0
c5100,,0
c5009,c5010,0
c5009,,0
c5010,,0
c5321,c4983,0
c5321,c5322,0
c5321,,0
c5322,,0
c4983,c4984,0
c4983,,0
c4984,,0
c5207,c4921,0
c5207,c5208,0
c5207,,0
c5208,,0
c4921,c4922,0
c4921,,0
c4922,,0
c5103,c5243,0
c5103,c5104,0
c5103,,0
c5104,,0
c5243,c5244,0
c5243,,0
c5244,,0
c5299,c5329,0
c5299,c5300,0
c5299,,0
c5300,,0
c5329,c5330,0
c5329,,0
c5330,,0
c5343,c5345,0
c5343,c5344,0
c5343,,0
c5344,,0
c5345,c5051,0
c5345,c5346,0
c5345,,0
c5346,,0
c5051,c5052,0
c5051,,0
c5052,,0
c5145,c5171,0
c5145,c5383,0
c5145,c5257,0
c5145,c5146,0
c5145,,0
c5146,,0
c5257,c5303,0
c5257,c5258,0
c5257,,0
c5258,,0
c5303,c5304,0
c5303,,0
c5304,,0
c5383,c5045,0
c5383,c5047,0
c5383,c5384,0
c5383,,0
c5384,,0
c5047,c5048,0
c5047,,0
c5048,,0
c5045,c5046,0
c5045,,0
c5046,,0
c5171,c5073,0
c5171,c5183,0
c5171,c5279,0
c5171,c4951,0
c5171,c5172,0
c5171,,0
c5172,,0
c4951,c5003,0
c4951,c4952,0
c4951,,0
c4952,,0
c5003,c5215,0
c5003,c5004,0
c5003,,0
c5004,,0
c5215,c5216,0
c5215,,0
c5216,,0
c5279,c5280,0
c5279,,0
c5280,,0
c5183,c5213,0
c5183,c5057,0
c5183,c5184,0
c5183,,0
c5184,,0
c5057,c4919,0
c5057,c5058,0
c5057,,0
c5058,,0
c4919,c4920,0
c4919,,0
c4920,,0
c5213,c5309,0
c5213,c5214,0
c5213,,0
c5214,,0
c5309,c5369,0
c5309,c5310,0
c5309,,0
c5310,,0
c5369,c5370,0
c5369,,0
c5370,,0
c5073,c5085,0
c5073,c5395,0
c5073,c5074,0
c5073,,0
c5074,,0
c5395,c5023,0
c5395,c5396,0
c5395,,0
c5396,,0
c5023,c5333,0
c5023,c5385,0
c5023,c5024,0
c5023,,0
c5024,,0
c5385,c5386,0
c5385,,0
c5386,,0
c5333,c5137,0
c5333,c5334,0
c5333,,0
c5334,,0
c5137,c5138,0
c5137,,0
c5138,,0
c5085,c5086,0
c5085,,0
c5086,,0
c4911,c5131,0
c4911,c5393,0
c4911,c5189,0
c4911,c5039,0
c4911,c4912,0
c4911,,0
c4912,,0
c5039,c5040,0
c5039,,0
c5040,,0
c5189,c5190,0
c5189,,0
c5190,,0
c5393,c5323,0
c5393,c5381,0
c5393,c5097,0
c5393,c5271,0
c5393,c5394,0
c5393,,0
c5394,,0
c5271,c5272,0
c5271,,0
c5272,,0
c5097,c5083,1
c5097,c4925,1
c5097,c5001,1
c5097,c4969,1
c5097,c5098,1
c5097,,1
c5098,,1
c4969,c4970,1
c4969,,1
c4970,,1
c5001,c5002,1
c5001,,1
c5002,,1
c4925,c5327,1
c4925,c5253,1
c4925,c4926,1
c4925,,1
c4926,,1
c5253,c5254,1
c5253,,1
c5254,,1
c5327,c5328,1
c5327,,1
c5328,,1
c5083,c4993,1
c5083,c5135,1
c5083,c5277,1
c5083,c5177,1
c5083,c5084,1
c5083,,1
c5084,,1
c5177,c5178,1
c5177,,1
c5178,,1
c5277,c5093,1
c5277,c5278,1
c5277,,1
c5278,,1
c5093,c5094,1
c5093,,1
c5094,,1
c5135,c5136,1
c5135,,1
c5136,,1
c4993,c4994,1
c4993,,1
c4994,,1
c5381,c4913,0
c5381,c4935,0
c5381,c5382,0
c5381,,0
c5382,,0
c4935,c5285,0
c4935,c4936,0
c4935,,0
c4936,,0
c5285,c5286,0
c5285,,0
c5286,,0
c4913,c5005,0
c4913,c4914,0
c4913,,0
c4914,,0
c5005,c5006,0
c5005,,0
c5006,,0
c5323,c5071,0
c5323,c5339,0
c5323,c4955,0
c5323,c4953,0
c5323,c5311,0
c5323,c4939,0
c5323,c5324,0
c5323,,0
c5324,,0
c4939,c4940,0
c4939,,0
c4940,,0
c5311,c5312,0
c5311,,0
c5312,,0
c4953,c5041,0
c4953,c5223,0
c4953,c4954,0
c4953,,0
c4954,,0
c5223,c5224,0
c5223,,0
c5224,,0
c5041,c5308,0
c5041,c5042,0
c5041,,0
c5042,,0
c5308,,0
c4955,c5173,0
c4955,c5095,0
c4955,c4956,0
c4955,,0
c4956,,0
c5095,c5096,0
c5095,,0
c5096,,0
c5173,c5174,0
c5173,,0
c5174,,0
c5339,c5077,0
c5339,c5227,0
c5339,c5340,0
c5339,,0
c5340,,0
c5227,c5228,0
c5227,,0
c5228,,0
c5077,c5078,0
c5077,,0
c5078,,0
c5071,c5297,0
c5071,c5015,0
c5071,c5117,0
c5071,c5273,0
c5071,c5072,0
c5071,,0
c5072,,0
c5273,c5274,0
c5273,,0
c5274,,0
c5117,c5233,0
c5117,c5118,0
c5117,,0
c5118,,0
c5233,c5234,0
c5233,,0
c5234,,0
c5015,c5016,0
c5015,,0
c5016,,0
c5297,c5351,0
c5297,c5298,0
c5297,,0
c5298,,0
c5351,c5053,0
c5351,c5401,0
c5351,c5352,0
c5351,,0
c5352,,0
