node_name,regime
c4589,0
c4203,0
c4202,0
c4372,0
c4524,0
c4352,0
c4326,0
c4222,0
c4391,0
c4525,0
c4614,0
c4430,0
c4494,0
c4225,0
c4474,0
c4651,0
c4552,0
c4210,0
c4508,0
c4611,0
c4383,0
c4296,0
c4582,0
c4367,0
c4493,0
c4215,0
c4414,0
c4406,0
c4317,0
c4645,0
c4527,0
c4294,0
c4535,0
c4600,0
c4652,0
c4365,0
c4641,0
c4630,0
c4375,0
c4590,0
c4240,0
c4500,0
c4228,0
c4421,0
c4650,0
c4528,0
c4522,0
c4328,0
c4513,0
c4208,0
c4207,0
c4390,0
c4466,0
c4354,0
c4353,0
c4643,0
c4487,0
c4449,0
c4196,0
c4558,0
c4297,0
c4186,0
c4750,1
c4672,1
c4761,1
c4766,1
c4753,1
c4682,1
c4754,1
c4748,1
c4729,1
c4744,1
c4752,1
c4673,1
c4740,1
c4731,1
c4715,1
c4699,1
c4726,1
c4730,1
c4693,1
c4665,1
c4659,1
c4709,1
c4681,1
c4676,1
c4714,1
c4728,1
c4666,1
c4765,1
c4696,1
c4685,1
c4675,1
c4722,1
c4762,1
c4698,1
c4712,1
c4664,1
c4720,1
c4660,1
c4691,1
c4671,1
c4662,1
c4735,1
c4747,1
c4732,1
c4736,1
c4757,1
c4725,1
c4679,1
c4764,1
c4713,1
c4743,1
c4657,1
c4741,1
c4701,1
c4687,1
c4756,1
c4669,1
c4678,1
c4692,1
c4745,1
c4670,1
c3890,0
c3655,0
c3575,0
c3802,0
c3879,0
c3636,0
c3801,0
c3590,0
c3589,0
c3758,0
c3881,0
c3843,0
c3776,0
c3891,0
c3916,0
c3896,0
c3735,0
c3714,0
c3675,0
c3729,0
c3809,0
c3707,0
c3781,0
c3643,0
c3681,0
c3570,0
c3659,0
c3736,0
c3711,0
c3734,0
c3676,0
c3952,0
c3787,0
c3900,0
c3892,0
c3713,0
c3724,0
c3741,0
c3848,0
c3806,0
c3581,0
c3680,0
c3852,0
c3577,0
c3915,0
c3960,0
c3706,0
c3828,0
c3625,0
c3621,0
c3658,0
c3814,0
c3917,0
c3863,0
c3959,0
c3856,0
c3669,0
c3991,0
c3666,0
c3931,0
c3598,0
c3974,0
c3941,0
c3730,0
c3692,0
c3670,0
c3596,0
c3898,0
c3592,0
c3656,0
c3885,0
c3945,0
c3934,0
c3833,0
c3767,0
c3616,0
c3588,0
c3840,0
c3918,0
c4064,1
c4081,1
c4082,1
c4051,1
c4073,1
c4033,1
c4059,1
c4075,1
c4070,1
c4029,1
c4004,1
c3996,1
c4058,1
c4017,1
c4016,1
c4071,1
c4043,1
c4066,1
c3159,0
c3059,0
c3205,0
c3201,0
c3099,0
c3408,0
c3267,0
c3355,0
c3122,0
c3213,0
c3244,0
c3413,0
c3371,0
c3407,0
c3218,0
c3416,0
c3374,0
c3091,0
c3266,0
c3160,0
c3143,0
c3134,0
c3068,0
c3193,0
c3247,0
c3130,0
c3404,0
c3249,0
c3433,0
c3303,0
c3344,0
c3384,0
c3098,0
c3417,0
c3377,0
c3444,1
c3498,1
c3464,1
c3470,1
c3469,1
c3465,1
c3499,1
c3454,1
c3468,1
c3437,1
c2884,0
c2801,0
c2646,0
c2635,0
c2632,0
c2837,0
c2673,0
c2586,0
c2616,0
c2858,0
c2869,0
c2747,0
c2671,0
c2753,0
c2758,0
c2941,0
c2871,0
c2726,0
c2829,0
c2583,0
c2652,0
c2703,0
c2701,0
c2601,0
c2835,0
c2775,0
c2714,0
c2804,0
c2974,1
c2963,1
c2990,1
c2975,1
c2969,1
c2996,1
c2965,1
c2986,1
c2221,0
c2248,0
c2458,0
c2329,0
c2349,0
c2280,0
c2328,0
c2264,0
c2199,0
c2310,0
c2444,0
c2255,0
c2234,0
c2476,1
c2491,1
c2478,1
c2495,1
c2510,1
c1982,0
c1847,0
c1822,0
c1885,0
c2074,0
c1890,0
c1886,0
c1828,0
c1816,0
c1804,0
c1933,0
c1907,0
c1799,0
c1988,0
c1862,0
c2106,1
c2086,1
c2076,1
c2080,1
c1483,0
c1693,0
c1705,0
c1691,0
c1481,0
c1722,0
c1697,0
c1688,0
c1490,0
c1516,0
c1643,0
c1486,0
c1506,0
c1578,0
c1531,0
c1677,0
c1667,0
c1646,0
c1564,0
c1744,1
c1731,1
c1738,1
c1724,1
c1340,0
c1366,0
c1273,0
c1415,0
c1314,0
c1343,0
c1228,0
c1398,0
c1348,0
c1407,0
c1438,1
c1439,1
c1435,1
c1114,0
c1054,0
c1171,0
c1124,0
c1189,1
c1177,1
c946,0
c906,0
c908,0
c852,0
c951,0
c868,0
c844,0
c945,0
c863,0
c981,1
c711,0
c802,0
c756,0
c776,0
c736,0
c795,0
c800,0
c694,0
c769,0
c818,1
c819,1
c812,1
c632,0
c547,0
c641,0
c618,0
c648,0
c445,0
c437,0
c447,0
c397,0
c367,0
c409,0
c337,0
c425,1
c271,0
c316,0
c283,0
c294,0
c324,0
c255,0
c244,0
c226,0
c261,0
c268,1
c183,0
c212,0
c203,0
c215,1
c166,0
c172,0
c168,0
c157,0
c124,0
c137,0
c141,0
c140,0
c129,0
c108,0
c90,0
c70,0
c56,0
c46,0
c31,0
c20,0
c6,0
c0,0
