scenario	theta1	node_name	is_leaf	sim_expr	read_count	infer_mu	infer_var	sim_root	sim_centered	reconstructed_centered	residual	abs_error	sim_history_file	reconstruction_file
t3r0	3	c981	False	-0.0163401959393368		0.9841603089653408	3.376361859215214	0.057235179533903	-0.0735753754732398	0.9269251294314378	1.0005005049046776	1.0005005049046776	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c1435	False	0.4068846077465103		0.7869004582585291	3.2614416143386795	0.057235179533903	0.3496494282126073	0.729665278724626	0.38001585051201875	0.38001585051201875	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c1731	False	-0.0283114031470647		0.5004068173057666	3.2138856405311658	0.057235179533903	-0.08554658268096771	0.44317163777186364	0.5287182204528313	0.5287182204528313	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c2478	False	-0.0869677753584986		0.2104865974029053	2.9485712931538077	0.057235179533903	-0.1442029548924016	0.1532514178690023	0.29745437276140385	0.29745437276140385	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c4033	False	-0.5444144778314117		-0.7520040615673321	1.8903443674725804	0.057235179533903	-0.6016496573653147	-0.8092392411012351	-0.2075895837359204	0.2075895837359204	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c4747	False	-0.4896355064712596		-0.8112259873489955	1.4743052579128866	0.057235179533903	-0.5468706860051626	-0.8684611668828985	-0.3215904808777359	0.3215904808777359	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5473	True	0.2650756736212543	0.0	-0.6648505655309738	1.003004074192567	0.057235179533903	0.20784049408735128	-0.7220857450648768	-0.929926239152228	0.929926239152228	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5474	True	0.3411109837844372	0.0	-0.6559128522216611	1.0420921053667598	0.057235179533903	0.2838758042505342	-0.7131480317555641	-0.9970238360060983	0.9970238360060983	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c4748	False	0.982058509552236		-0.8025801534493531	1.4807155871209248	0.057235179533903	0.924823330018333	-0.8598153329832561	-1.784638663001589	1.784638663001589	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5533	True	1.16081056319742	0.0	-0.6630570695127059	1.0363201038346663	0.057235179533903	1.103575383663517	-0.7202922490466089	-1.823867632710126	1.823867632710126	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5534	True	1.2663081589350276	0.0	-0.6332288496716398	1.0331692067698277	0.057235179533903	1.2090729794011246	-0.6904640292055428	-1.8995370086066674	1.8995370086066674	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c3468	False	0.4670125269752795		0.5072325571653066	2.4469741765623847	0.057235179533903	0.4097773474413765	0.4499973776314036	0.04022003019002707	0.04022003019002707	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c4722	False	-0.0683955524525582		0.7165691575395974	1.4852621495063512	0.057235179533903	-0.12563073198646119	0.6593339780056944	0.7849647099921555	0.7849647099921555	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5485	True	1.0227240271198903	1.0	0.8067579514106472	0.9231648433879176	0.057235179533903	0.9654888475859873	0.7495227718767442	-0.2159660757092431	0.2159660757092431	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5486	True	0.6376287813886072	1.0	0.8024234285136244	0.8856786801265928	0.057235179533903	0.5803936018547042	0.7451882489797214	0.16479464712501712	0.16479464712501712	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c4698	False	0.1383419226807335		0.6569450291527082	1.4965691341009546	0.057235179533903	0.0811067431468305	0.5997098496188052	0.5186031064719747	0.5186031064719747	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5427	True	0.8422937869606939	2.0	1.0677249621235796	0.8124925616789939	0.057235179533903	0.7850586074267909	1.0104897825896766	0.2254311751628857	0.2254311751628857	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5428	True	0.908185262138866	0.0	0.4011479758126509	1.0379939521827397	0.057235179533903	0.850950082604963	0.3439127962787479	-0.5070372863262151	0.5070372863262151	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c4066	False	-1.126314534456475		-0.6893892244445071	1.91146509694805	0.057235179533903	-1.183549713990378	-0.7466244039784101	0.43692531001196777	0.43692531001196777	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c4669	False	-1.2224211838400436		-0.7586875985870253	1.4892676210507771	0.057235179533903	-1.2796563633739466	-0.8159227781209283	0.46373358525301833	0.46373358525301833	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
t3r0	3	c5529	True	0.446269152309321	0.0	-0.6193947223375685	1.044297895862057	0.057235179533903	0.389033972775418	-0.6766299018714715	-1.0656638746468896	1.0656638746468896	expression_simulation/simulation/sim_history_t3r0.tsv	expression_simulation/reconst/history_t3r0_gene500.tsv
